year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2018,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3962.21
2018,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4110.62
2018,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,143.01
2018,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.06
2018,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.34
2018,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.34
2018,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3962208.56
2018,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,4110619.04
2018,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,5059.02
2018,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,143009.28
2018,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,342.18
2018,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,342.18
2019,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4538.13
2019,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4674.74
2019,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,128.75
2019,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.28
2019,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.59
2019,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.59
2019,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,4538125.24
2019,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,4674742.42
2019,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,7279.09
2019,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,128752.27
2019,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,585.83
2019,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,585.83
2020,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4838.19
2020,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4967.94
2020,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,121.33
2020,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8
2020,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.42
2020,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.42
2020,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,4838191.83
2020,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,4967941.61
2020,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,8003.07
2020,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,121328.48
2020,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,418.23
2020,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,418.23
2021,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4833.63
2021,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4962.16
2021,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,117.54
2021,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,10.63
2021,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.36
2021,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.36
2021,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,4833633.47
2021,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,4962163.57
2021,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,10626.25
2021,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,117543.41
2021,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,360.45
2021,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,360.45
2022,DD111,Electricity generation and on-selling,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3119.04
2022,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3237.81
2022,DD111,Electricity generation and on-selling,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,114.42
2022,DD111,Electricity generation and on-selling,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.94
2022,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.41
2022,DD111,Electricity generation and on-selling,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.41
2022,DD111,Electricity generation and on-selling,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3119040.17
2022,DD111,Electricity generation and on-selling,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3237807.05
2022,DD111,Electricity generation and on-selling,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3941.96
2022,DD111,Electricity generation and on-selling,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,114415.46
2022,DD111,Electricity generation and on-selling,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,409.45
2022,DD111,Electricity generation and on-selling,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,409.45
2007,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1.69
2007,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,119.34
2007,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,110.28
2007,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2007,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7
2007,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.36
2007,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.36
2007,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,1694.36
2007,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,119343.11
2007,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,9.48
2007,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,110283.18
2007,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,359.71
2007,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,6996.38
2007,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,7356.09
2008,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.13
2008,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,109.98
2008,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,101.08
2008,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2008,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.32
2008,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.43
2008,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.75
2008,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2133.63
2008,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,109977.92
2008,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.38
2008,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,101082.11
2008,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,432.79
2008,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,6318.01
2008,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,6750.8
2009,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.83
2009,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,91.42
2009,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,79.37
2009,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2009,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8.71
2009,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.5
2009,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,9.2
2009,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2833.7
2009,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,91418.03
2009,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,14.08
2009,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,79369.06
2009,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,495.93
2009,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,8705.25
2009,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,9201.18
2010,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.9
2010,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,84.86
2010,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,72.57
2010,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2010,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8.89
2010,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.48
2010,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,9.37
2010,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2903.34
2010,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,84859.11
2010,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,13.08
2010,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,72569.97
2010,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,481.45
2010,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,8891.28
2010,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,9372.73
2011,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.91
2011,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,93.97
2011,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,83.97
2011,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2011,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.53
2011,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.54
2011,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.08
2011,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2907.42
2011,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,93968.41
2011,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.95
2011,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,83970.19
2011,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,544.67
2011,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,6534.18
2011,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,7078.85
2012,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.77
2012,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,85.23
2012,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,73.11
2012,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2012,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,8.7
2012,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.64
2012,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,9.34
2012,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2769.71
2012,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,85233.96
2012,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.68
2012,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,73111.08
2012,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,638.84
2012,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,8702.65
2012,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,9341.49
2013,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.51
2013,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,69.99
2013,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,63.54
2013,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2013,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.3
2013,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.63
2013,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.92
2013,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2512.45
2013,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,69987.56
2013,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,11.6
2013,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,63538.73
2013,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,627.44
2013,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,3297.34
2013,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,3924.79
2014,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.85
2014,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,77.11
2014,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,68.97
2014,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2014,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.79
2014,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.5
2014,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.28
2014,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2851.83
2014,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,77112.79
2014,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,13.5
2014,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,68966.36
2014,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,495.95
2014,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,4785.14
2014,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5281.09
2015,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.81
2015,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,79.65
2015,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,70.62
2015,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2015,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.67
2015,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.54
2015,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.2
2015,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2813.8
2015,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,79651.36
2015,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,13.02
2015,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,70619.88
2015,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,538.75
2015,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,5665.91
2015,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,6204.66
2016,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.46
2016,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,69.74
2016,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,59.51
2016,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2016,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.18
2016,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.58
2016,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.76
2016,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2459.53
2016,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,69739
2016,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,12.65
2016,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,59505.4
2016,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,578.99
2016,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,7182.42
2016,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,7761.41
2017,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.94
2017,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,51.31
2017,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,42.99
2017,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.02
2017,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.92
2017,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.43
2017,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.36
2017,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,2942.35
2017,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,51310.11
2017,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,15.22
2017,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,42994.46
2017,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,434.17
2017,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,4923.9
2017,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5358.08
2018,DD112,Electricity transmission and distribution,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.25
2018,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,89.58
2018,DD112,Electricity transmission and distribution,Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,81.24
2018,DD112,Electricity transmission and distribution,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.01
2018,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.67
2018,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.41
2018,DD112,Electricity transmission and distribution,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,5.08
2018,DD112,Electricity transmission and distribution,Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3254.09
2018,DD112,Electricity transmission and distribution,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,89583.97
2018,DD112,Electricity transmission and distribution,Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,13.85
2018,DD112,Electricity transmission and distribution,Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,81238.61
2018,DD112,Electricity transmission and distribution,Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,408.8
2018,DD112,Electricity transmission and distribution,Sulphur hexafluoride,Tonnes,Carbon dioxide equivalents,Environmental accounts,4668.63
2018,DD112,Electricity transmission and distribution,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,5077.42
